pick,pick,natural,natural
Absolute Zero,Darkness,626,831
Frozen Prison,Ice,986,52
Tempest Fury,Darkness,146,296
Thunder Crash,Storm,993,324
Glacial Spike,Darkness,697,620
Hurricane Call,Darkness,52,952
Dark Nova,Storm,561,927
Thunderstorm,Ice,783,957
Glacial Spike,Ice,281,169
Thunderstorm,Storm,760,866
Thunderstorm,Darkness,106,452
Dark Nova,Ice,673,830
Void Strike,Ice,217,258
Ice Age,Ice,604,514
Ice Shard,Storm,192,400
Dark Nova,Storm,442,40
Dark Nova,Ice,87,863
Dark Eclipse,Storm,524,946
Frostbite,Storm,531,136
Frostbite,Storm,166,253
Frostbite,Ice,65,201
Blizzard Strike,Storm,131,652
Thunderstorm,Storm,735,476
Thunder Crash,Darkness,923,97
Thunder Crash,Darkness,882,779
Thunderstorm,Darkness,250,637
Nightmare Curse,Storm,723,111
Ice Shard,Storm,893,55
Winter's Wrath,Storm,173,201
Chain Lightning,Ice,119,741
Storm Surge,Ice,348,768
Infinite Darkness,Storm,614,921
Void Strike,Darkness,939,22
Infinite Darkness,Darkness,670,960
Ice Age,Storm,743,505
Nightmare Curse,Ice,962,124
Abyssal Wrath,Darkness,276,371
Hurricane Call,Storm,672,854
Thunder Crash,Ice,341,31
Thunderstorm,Darkness,406,642
Storm Surge,Ice,370,641
Lightning Bolt,Ice,476,177
Glacial Spike,Darkness,399,150
Tempest Fury,Storm,20,608
Storm Surge,Storm,392,300
Dark Nova,Ice,818,274
Ice Age,Darkness,984,358
Frostbite,Darkness,694,254
Chain Lightning,Darkness,485,301
Ice Age,Ice,18,533
Ice Shard,Darkness,999,366
Infinite Darkness,Ice,603,358
Tempest Fury,Darkness,261,471
Dark Eclipse,Darkness,190,458
Frozen Prison,Darkness,753,375
Glacial Spike,Storm,118,179
Shadow Veil,Ice,443,661
Shadow Veil,Darkness,120,975
Absolute Zero,Storm,597,975
Shadow Veil,Storm,18,39
Abyssal Wrath,Ice,523,265
Dark Eclipse,Storm,310,788
Thunder Crash,Storm,885,701
Dark Eclipse,Storm,327,905
Glacial Spike,Ice,291,880
Storm Surge,Darkness,763,668
Ice Age,Storm,747,524
Ice Shard,Ice,665,528
Storm Surge,Storm,82,128
Shadow Veil,Darkness,308,816
Tempest Fury,Storm,871,890
Void Strike,Ice,779,27
Blizzard Strike,Ice,180,111
Ice Shard,Storm,507,900
Ice Age,Darkness,616,131
Hurricane Call,Ice,464,41
Tempest Fury,Darkness,927,804
Frozen Prison,Darkness,977,179
Thunder Crash,Ice,220,8
Hurricane Call,Darkness,200,985
Dark Nova,Ice,835,634
Storm Surge,Ice,957,720
Dark Eclipse,Ice,89,902
Abyssal Wrath,Storm,561,513
Frozen Prison,Darkness,244,295
Hurricane Call,Storm,457,292
Dark Eclipse,Storm,918,781
Frostbite,Storm,222,664
Blizzard Strike,Ice,474,825
Infinite Darkness,Storm,565,515
Shadow Veil,Ice,783,720
Lightning Bolt,Darkness,527,131
Abyssal Wrath,Storm,334,355
Thunder Crash,Darkness,756,897
Absolute Zero,Ice,849,265
Nightmare Curse,Ice,916,444
Glacial Spike,Ice,395,928
Lightning Bolt,Storm,173,572
Storm Surge,Ice,364,100
Dark Nova,Ice,601,867
Abyssal Wrath,Darkness,607,616
Infinite Darkness,Darkness,858,441
Absolute Zero,Ice,718,123
Shadow Veil,Ice,820,249
Void Strike,Storm,553,706
Shadow Veil,Ice,380,815
Dark Nova,Darkness,47,101
Chain Lightning,Ice,20,461
Shadow Veil,Storm,809,244
